Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Linkedin
BLST Security,https://finder.startupnationcentral.org/company_page/blst-security,"BLST understands its clientâ€™s API posture in the context that matters â€“Business goals, usersâ€™ journey, and IT KPIs.",Security Technologies,2021,Nov-50,Seed,
IsItYou,https://finder.startupnationcentral.org/company_page/isityou,Biometric Fraud Prevention,Security Technologies,2012,01-Oct,Seed,2967473
Purple Biotech,https://finder.startupnationcentral.org/company_page/kitov-pharmaceuticals,Tumor-immune Evasion and Drug Resistance Therapies,Life Sciences & HealthTech,1968,Nov-50,Public,6758085
BioNanoSim,https://finder.startupnationcentral.org/company_page/bionanosim,Improved Versions of Existing Drugs and Cannabis Delivery,Life Sciences & HealthTech,2015,Nov-50,Seed,77224750
X2ONE,https://finder.startupnationcentral.org/company_page/x2one,Business Communication Management,"Enterprise, IT & Data Infrastructure",2015,Nov-50,Pre-Funding,10680147
FertilAI,https://finder.startupnationcentral.org/company_page/fertilai,Workflow Management for Fertility Treatments,Life Sciences & HealthTech,2021,01-Oct,Pre-Funding,
LEO Ride,https://finder.startupnationcentral.org/company_page/leo-ride,Electric Scooter Sharing Platform,Smart Mobility,2018,01-Oct,Seed,19037144
MazeBolt,https://finder.startupnationcentral.org/company_page/mazebolt,DDoS Protection Technology,Security Technologies,2013,Nov-50,Seed,5017324
Gnrgy,https://finder.startupnationcentral.org/company_page/gnrgy,Smart Grid for Appliances and EV Charging Solutions,Smart Mobility,2008,Nov-50,Pre-Funding,554498
Kiami,https://finder.startupnationcentral.org/company_page/kiami,Smart Troubleshooting and Maintenance Software for Manufacturing Teams,Industrial Technologies,2018,01-Oct,Pre-Funding,13181317
BlockStock,https://finder.startupnationcentral.org/company_page/blockstock,Real Estate Investment Platform,FinTech,2022,01-Oct,Pre-Funding,81808068
Moneytor,https://finder.startupnationcentral.org/company_page/moneytor,Smart Personal Finance Management Platform,FinTech,2020,Nov-50,Seed,42886970
Solio Therapy,https://finder.startupnationcentral.org/company_page/solio-therapy,RF Energy-based Solutions for Pain Relief,Life Sciences & HealthTech,2001,Nov-50,Pre-Funding,18547995
Madskil,https://finder.startupnationcentral.org/company_page/madskil,Social Game for Live Streaming ,Content & Media,2019,01-Oct,Seed,35707739
Plethora,https://finder.startupnationcentral.org/company_page/plethora,Platform for Computational Thinking Skills,Content & Media,2019,01-Oct,Pre-Funding,37007851
ArmourSense,https://finder.startupnationcentral.org/company_page/armoursense,Industrial Risk Identification and Accident Prevention Technology,Industrial Technologies,2021,01-Oct,Pre-Funding,72383705
AmboVent,https://finder.startupnationcentral.org/company_page/ambovent,Emergency Ventilation Device,Life Sciences & HealthTech,2020,Nov-50,Pre-Funding,
Magna BSP,https://finder.startupnationcentral.org/company_page/magna-bsp,3D Video Surveillance Solutions,Security Technologies,2001,Nov-50,Seed,5035018
Trackimo,https://finder.startupnationcentral.org/company_page/trackimo,End-to-end Tracking & Safety Solutions,Smart Mobility,2013,51-200,Mature,71866302
Mapme,https://finder.startupnationcentral.org/company_page/mapme,Crowdsourced Map Creator,Smart Mobility,2014,01-Oct,Seed,9199493
OwnID,https://finder.startupnationcentral.org/company_page/ownid,Passwordless Authentication Solution,Security Technologies,2021,Nov-50,Seed,68744626
Mirage Dynamics,https://finder.startupnationcentral.org/company_page/mirage-dynamics,Dynamic In-video Object Replacement,Content & Media,2022,01-Oct,Seed,80055856
Yoran Imaging,https://finder.startupnationcentral.org/company_page/yoran-imaging,Thermal Imaging for Heat Sealing,Industrial Technologies,2016,01-Oct,Seed,14780132
GYTpol,https://finder.startupnationcentral.org/company_page/gytpol,Security Configuration Management,Security Technologies,2018,Nov-50,Pre-Funding,34653263
3DCOM,https://finder.startupnationcentral.org/company_page/3dcom,Automation Technology for the Real Estate Industry,FinTech,2020,01-Oct,Seed,71566812
Aquafit Intimate,https://finder.startupnationcentral.org/company_page/aquafit-intimate,Intimate Gel Stick Products,Life Sciences & HealthTech,2017,01-Oct,Seed,65303501
Laminera Flow Optimization,https://finder.startupnationcentral.org/company_page/abi-energy,Pipeline Turbulence Suppression Technology,Industrial Technologies,2017,01-Oct,Pre-Funding,
Affogata,https://finder.startupnationcentral.org/company_page/affogata, AI-Driven Player Feedback Analytics Platform ,Retail & Marketing,2019,Nov-50,Seed,64646209
Biological Industries,https://finder.startupnationcentral.org/company_page/biological-industries,Tissue Culture Products for Research and Diagnostics,Life Sciences & HealthTech,1990,51-200,Mature,1902252
PointGrab,https://finder.startupnationcentral.org/company_page/pointgrab,Sensing Technology for Workspace Analytics,FinTech,2008,Nov-50,B,452517
SwitchBee,https://finder.startupnationcentral.org/company_page/switchbee,Smart Home Systems,Energy-tech,2013,Nov-50,Seed,9180344
Matomy Media Group,https://finder.startupnationcentral.org/company_page/matomy-media-group,Programmatic Advertising Platforms,Retail & Marketing,2006,51-200,Mature,681734
SipNose,https://finder.startupnationcentral.org/company_page/sipnose,Intranasal Drug-delivery Platform,Life Sciences & HealthTech,2011,01-Oct,Pre-Funding,66605840
Fairgen,https://finder.startupnationcentral.org/company_page/fairgen,Platform for Fixing Biased Data,"Enterprise, IT & Data Infrastructure",2022,01-Oct,Seed,76988402
Mesh Security,https://finder.startupnationcentral.org/company_page/cyence-networks, Zero Trust Posture Management Solution,Security Technologies,2021,01-Oct,Seed,82520762
SeatBack,https://finder.startupnationcentral.org/company_page/seatback,Interactive Device to Improve Sitting Posture,Life Sciences & HealthTech,2016,Nov-50,Seed,12900240
Omnix Medical,https://finder.startupnationcentral.org/company_page/omnix-medical,Novel Antibiotic Agents to Combat Resistant Bacteria,Life Sciences & HealthTech,2015,Nov-50,A,13179766
Nuel,https://finder.startupnationcentral.org/company_page/nuel,Novel Molecule for Enhanced Fuel Burning Process,Smart Mobility,2023,01-Oct,Seed,
Fabriloo,https://finder.startupnationcentral.org/company_page/fabriloo,Off-grid Emergency Sanitation Solutions,Industrial Technologies,2020,01-Oct,Pre-Funding,69768205
BotanoHealth,https://finder.startupnationcentral.org/company_page/botanohealth,Organic Crop Protection Solutions,AgriFood-tech & Water,2018,01-Oct,Seed,19171081
BBT.live,https://finder.startupnationcentral.org/company_page/bbt-live,Cloud-based Software-defined Networking,"Enterprise, IT & Data Infrastructure",2020,Nov-50,Seed,67749781
Rep AI,https://finder.startupnationcentral.org/company_page/rep-ai,AI Powered Brand Concierge,Retail & Marketing,2020,Nov-50,Seed,
Satori Cyber,https://finder.startupnationcentral.org/company_page/satori-cyber,Secure Data Access Cloud Solution,Security Technologies,2019,51-200,A,34691936
MakeSense,https://finder.startupnationcentral.org/company_page/makesense,AI-based Technology for Measuring Nutritional Values of Meals,Life Sciences & HealthTech,2018,01-Oct,Pre-Seed,
TalkSense,https://finder.startupnationcentral.org/company_page/talksense,App for Verbal Updates,"Enterprise, IT & Data Infrastructure",2014,01-Oct,Pre-Funding,4860967
Keystone Heart,https://finder.startupnationcentral.org/company_page/keystone-heart,Embolic Cerebral Protection Devices,Life Sciences & HealthTech,2004,Nov-50,Mature,2768313
ETV Energy,https://finder.startupnationcentral.org/company_page/etv-motors-etv-energy,Lithium-ion Batteries for Electric Vehicles,Energy-tech,2008,01-Oct,Seed,5996943
HiredScore,https://finder.startupnationcentral.org/company_page/hiredscore,Data-driven Job Applicant Analysis,"Enterprise, IT & Data Infrastructure",2012,51-200,Mature,3345089
TeleMessage,https://finder.startupnationcentral.org/company_page/telemessage,Enterprise Messaging and Mobility Platform,"Enterprise, IT & Data Infrastructure",1999,51-200,Mature,27159
Pepticom,https://finder.startupnationcentral.org/company_page/pepticom,Novel Peptide Drug Candidates,Life Sciences & HealthTech,2011,01-Oct,A,13182242
Senstar Technologies,https://finder.startupnationcentral.org/company_page/magal-s3-security,Security for Critical Infrastructure,Security Technologies,1969,51-200,Public,705286
Orasis Pharmaceuticals,https://finder.startupnationcentral.org/company_page/orasis-pharmaceuticals,Corrective Eye Drops for Presbyopia,Life Sciences & HealthTech,2015,Nov-50,C,10476373
RDV Systems,https://finder.startupnationcentral.org/company_page/rdv-systems,3D Visualization Technology,"Enterprise, IT & Data Infrastructure",2005,Nov-50,B,2668687
Samurai,https://finder.startupnationcentral.org/company_page/samurai,Backtesting Algorithm SaaS for Big Data,FinTech,2016,01-Oct,Seed,10680374
101 Therapeutics,https://finder.startupnationcentral.org/company_page/101-therapeutics,Developing Cures for Multiple Infectious Diseases,Life Sciences & HealthTech,2020,01-Oct,Seed,70077086
snapland,https://finder.startupnationcentral.org/company_page/snapland,Helping Real Estate Companies Find Hidden Opportunities,FinTech,2018,01-Oct,Pre-Seed,18845250
RealFriend,https://finder.startupnationcentral.org/company_page/realfriend,AI-powered Real Estate Agents for Apartment Rentals,FinTech,2018,Nov-50,Seed,33178381
Noviopus,https://finder.startupnationcentral.org/company_page/noviopus1,Job Search and Recruitment Platform,"Enterprise, IT & Data Infrastructure",2015,01-Oct,Seed,10156054
Treat,https://finder.startupnationcentral.org/company_page/treat,Mobile Gaming and Pet Care,Content & Media,2020,01-Oct,Pre-Funding,66928863
Futora,https://finder.startupnationcentral.org/company_page/futora,Personalized Financial Products,FinTech,2020,Nov-50,A,72128365
Hospitech Respiration,https://finder.startupnationcentral.org/company_page/hospitech-respiration,Airway Management Solutions for Mechanically Ventilated Patients,Life Sciences & HealthTech,2006,Nov-50,A,8918969
CommuniTake Technologies,https://finder.startupnationcentral.org/company_page/communitake-technologies,Mobile Security and Productivity Platform,Security Technologies,2009,Nov-50,B,3523134
Polyam,https://finder.startupnationcentral.org/company_page/polyam,Pollination Services and Integrated Pest Management,AgriFood-tech & Water,1995,Nov-50,Mature,
Curapipe,https://finder.startupnationcentral.org/company_page/curapipe,Bulk Reduction of Leakage in Water Distribution Pipes,AgriFood-tech & Water,2007,01-Oct,A,586431
Shamir Optical Industry,https://finder.startupnationcentral.org/company_page/shamir-optical-industry,Progressive Lenses for the Ophthalmic Industry,Life Sciences & HealthTech,1972,201-500,Mature,837813
Chromagen,https://finder.startupnationcentral.org/company_page/chromagen,Custom Hot Water Solutions,Energy-tech,1962,51-200,Mature,1008916
Vibrant,https://finder.startupnationcentral.org/company_page/vibrant,Non-drug Treatment of Chronic Idiopathic Constipation,Life Sciences & HealthTech,2007,Nov-50,E,71487937
NI Medical,https://finder.startupnationcentral.org/company_page/ni-medical,Noninvasive Bioimpedance-based Cardiac System,Life Sciences & HealthTech,2011,51-200,Mature,305372
Vinsent,https://finder.startupnationcentral.org/company_page/vinx,Marketplace for Wine Lovers,Retail & Marketing,2017,01-Oct,Seed,28670967
wndr,https://finder.startupnationcentral.org/company_page/avian,"Travel Platform for Content Creators, Consumers, and Suppliers",Content & Media,2018,Nov-50,Seed,18877901
RestAR,https://finder.startupnationcentral.org/company_page/restar,Cloud-based 3D Scanning and AR for Retail,"Enterprise, IT & Data Infrastructure",2017,Nov-50,Mature,11399157
OneStep,https://finder.startupnationcentral.org/company_page/onestep,Remote Physical Therapy,Life Sciences & HealthTech,2019,51-200,A,31442745
Yevul Info,https://finder.startupnationcentral.org/company_page/yevul-info,Algorithm-based Fertilization and Stress Alerts,AgriFood-tech & Water,2022,01-Oct,Seed,87430259
Hooke Eye Exam Solutions,https://finder.startupnationcentral.org/company_page/hooke-eye-exam-solutions,,Industrial Technologies,2022,01-Oct,Pre-Funding,
Tamnoon,https://finder.startupnationcentral.org/company_page/tamnoon,Managed Cloud Defense and Posture Management,Security Technologies,2021,01-Oct,Seed,89746207
Sky and Space Global,https://finder.startupnationcentral.org/company_page/sky-and-space-global,Nanosatellite Communication Network,Aerospace & Aviation,2015,Nov-50,Mature,10424893
Pentaomix,https://finder.startupnationcentral.org/company_page/pentaomix,Hyperspectral Data AI Solutions,Life Sciences & HealthTech,2020,01-Oct,Pre-Funding,14797434
Cawamo,https://finder.startupnationcentral.org/company_page/cawamo,AI-based Smart Alert Systems,Security Technologies,2016,01-Oct,Pre-Funding,27044573
Applied Spectral Imaging,https://finder.startupnationcentral.org/company_page/applied-spectral-imaging,Automated Imaging Platforms for Pathological Analysis,Life Sciences & HealthTech,1993,51-200,Seed,62375
Panaya,https://finder.startupnationcentral.org/company_page/panaya,Enterprise Agile Delivery Solutions,"Enterprise, IT & Data Infrastructure",2006,201-500,Mature,35280
StemRad,https://finder.startupnationcentral.org/company_page/stemrad,Lifesaving Protection against Deadly Radiation,Security Technologies,2011,Nov-50,C,3505511
Sharon Laboratories,https://finder.startupnationcentral.org/company_page/sharon-laboratories,"Preservatives for Food, Cosmetics, and Pharmaceuticals",Life Sciences & HealthTech,1977,Nov-50,Mature,1006955
SpaceIL,https://finder.startupnationcentral.org/company_page/spaceil,Lunar Landing Spacecraft,Aerospace & Aviation,2010,Nov-50,Pre-Funding,1629256
Enopace Biomedical,https://finder.startupnationcentral.org/company_page/enopace-biomedical,Minimally Invasive Neurostimulation Device for Heart Failure,Life Sciences & HealthTech,2007,Nov-50,B,6368236
ASOCS,https://finder.startupnationcentral.org/company_page/asocs,On-premises Mobile Cloud Solutions,Industrial Technologies,2003,51-200,Mature,54063
Bidflyer Labs,https://finder.startupnationcentral.org/company_page/bidflyer,Marketplace Platform for Airline Ticketing and Retail Services,Retail & Marketing,2016,Nov-50,Seed,
Sensoil Innovations,https://finder.startupnationcentral.org/company_page/sensoil-innovations,Real-time Detection of Water Flow and Contaminants,AgriFood-tech & Water,2012,01-Oct,Pre-Funding,19143235
Robo Deck,https://finder.startupnationcentral.org/company_page/robo-deck,Robotic Deck Maintenance Service,Industrial Technologies,2018,01-Oct,Pre-Seed,72434005
